A  -  1449 ocorrências
DESTRUCTION  -  22 ocorrências
DESTRUCTIVE  -  1 ocorrências
DETACH  -  1 ocorrências
DETAIL  -  8 ocorrências
DETAILS  -  3 ocorrências
DETAIN  -  1 ocorrências
DETECT  -  1 ocorrências
DETERMINATION  -  8 ocorrências
DETERMINE  -  1 ocorrências
DETERMINED  -  18 ocorrências
DETERMINING  -  1 ocorrências
DETEST  -  1 ocorrências
DETESTABLE  -  2 ocorrências
DETESTATION  -  3 ocorrências
DETESTED  -  5 ocorrências
DETRACTS  -  1 ocorrências
DETRIMENTAL  -  1 ocorrências
DEVELOPED  -  2 ocorrências
DEVELOPMENT  -  1 ocorrências
DEVIATING  -  1 ocorrências
DEVICES  -  1 ocorrências
DEVIL  -  10 ocorrências
DEVILISH  -  1 ocorrências
DEVILS  -  3 ocorrências
DEVOLVED  -  1 ocorrências
DEVOTE  -  4 ocorrências
DEVOTED  -  14 ocorrências
DEVOTING  -  1 ocorrências
DEVOTION  -  3 ocorrências
DEVOURED  -  1 ocorrências
DEVOURING  -  3 ocorrências
DEW  -  1 ocorrências
DEWS  -  2 ocorrências
DIABOLICAL  -  1 ocorrências
DIABOLICALLY  -  1 ocorrências
DIALECTS  -  1 ocorrências
DIALOGUE  -  1 ocorrências
DICTATE  -  2 ocorrências
DICTATED  -  1 ocorrências
DID  -  119 ocorrências
DIDST  -  1 ocorrências
DIE  -  24 ocorrências
DIED  -  25 ocorrências
DIET  -  1 ocorrências
DIFFERED  -  2 ocorrências
DIFFERENCE  -  5 ocorrências
DIFFERENT  -  20 ocorrências
DIFFERING  -  1 ocorrências
DIFFICULT  -  2 ocorrências
DIFFICULTIES  -  2 ocorrências
DIFFICULTY  -  11 ocorrências
DIFFIDENCE  -  1 ocorrências
DIFFIDENT  -  1 ocorrências
DIFFUSED  -  3 ocorrências
DIFFUSING  -  1 ocorrências
DIGGING  -  1 ocorrências
DIGNITY  -  4 ocorrências
DILATORINESS  -  1 ocorrências
DILATORY  -  1 ocorrências
DILIGENCE  -  3 ocorrências
DILIGENCES  -  1 ocorrências
DIM  -  3 ocorrências
DIMMED  -  2 ocorrências
DIMMING  -  1 ocorrências
DIMPLES  -  1 ocorrências
DINNER  -  1 ocorrências
DIRE  -  1 ocorrências
DIRECT  -  8 ocorrências
DIRECTED  -  13 ocorrências
DIRECTION  -  6 ocorrências
DIRECTIONS  -  1 ocorrências
DIRECTLY  -  2 ocorrências
DIRECTOR  -  1 ocorrências
DIRGE  -  1 ocorrências
DIRT  -  1 ocorrências
DISAPPEARED  -  9 ocorrências
DISAPPOINTED  -  3 ocorrências
DISAPPOINTMENT  -  7 ocorrências
DISAPPOINTMENTS  -  1 ocorrências
DISASTER  -  4 ocorrências
DISASTERS  -  1 ocorrências
DISASTROUS  -  1 ocorrências
DISBELIEF  -  1 ocorrências
DISCERNED  -  1 ocorrências
DISCERNING  -  1 ocorrências
DISCERNMENT  -  1 ocorrências
DISCHARGE  -  1 ocorrências
DISCIPLE  -  3 ocorrências
DISCIPLINE  -  1 ocorrências
DISCLAIM  -  1 ocorrências
DISCLAIMER  -  3 ocorrências
DISCLAIMERS  -  1 ocorrências
DISCLOSE  -  3 ocorrências
DISCLOSED  -  2 ocorrências
DISCOMPOSE  -  1 ocorrências
DISCONCERTED  -  1 ocorrências
DISCONSOLATE  -  3 ocorrências
DISCONTENT  -  1 ocorrências
DISCONTENTED  -  1 ocorrências
DISCONTINUE  -  1 ocorrências
DISCOURSE  -  3 ocorrências
DISCOVER  -  17 ocorrências
DISCOVERED  -  35 ocorrências
DISCOVERERS  -  1 ocorrências
DISCOVERIES  -  7 ocorrências
DISCOVERING  -  3 ocorrências
DISCOVERY  -  18 ocorrências
DISCRIMINATION  -  1 ocorrências
DISDAIN  -  4 ocorrências
DISEASE  -  2 ocorrências
DISENCUMBERED  -  1 ocorrências
DISGRACE  -  2 ocorrências
DISGUISE  -  1 ocorrências
DISGUST  -  5 ocorrências
DISGUSTED  -  1 ocorrências
DISGUSTING  -  1 ocorrências
DISINCLINED  -  1 ocorrências
DISINTERESTED  -  1 ocorrências
DISK  -  3 ocorrências
DISLIKE  -  2 ocorrências
DISLIKED  -  1 ocorrências
DISMAL  -  1 ocorrências
DISMALLY  -  1 ocorrências
DISMAY  -  2 ocorrências
DISMISSED  -  1 ocorrências
DISMISSING  -  1 ocorrências
DISMOUNT  -  1 ocorrências
DISOBEY  -  1 ocorrências
DISORDER  -  2 ocorrências
DISOWNED  -  1 ocorrências
DISPATCHED  -  1 ocorrências
DISPEL  -  2 ocorrências
DISPELLED  -  1 ocorrências
DISPELLING  -  1 ocorrências
DISPERSED  -  3 ocorrências
DISPLAY  -  1 ocorrências
DISPLAYED  -  4 ocorrências
DISPLAYING  -  5 ocorrências
DISPLAYS  -  1 ocorrências
DISPOSED  -  2 ocorrências
DISPOSITION  -  6 ocorrências
DISPOSITIONS  -  7 ocorrências
DISPUTE  -  1 ocorrências
DISQUIET  -  1 ocorrências
DISQUIETED  -  1 ocorrências
DISQUISITION  -  1 ocorrências
DISQUISITIONS  -  1 ocorrências
DISREGARD  -  1 ocorrências
DISSECT  -  1 ocorrências
DISSECTING  -  1 ocorrências
DISSIPATE  -  6 ocorrências
DISSIPATED  -  1 ocorrências
DISSIPATES  -  1 ocorrências
DISSOLUBLE  -  1 ocorrências
DISSUADE  -  1 ocorrências
DISTANCE  -  15 ocorrências
DISTANT  -  10 ocorrências
DISTASTE  -  1 ocorrências
DISTEMPER  -  1 ocorrências
DISTINCT  -  7 ocorrências
DISTINCTION  -  3 ocorrências
DISTINCTLY  -  2 ocorrências
DISTINGUISH  -  6 ocorrências
DISTINGUISHED  -  9 ocorrências
DISTINGUISHING  -  1 ocorrências
DISTORTED  -  4 ocorrências
DISTRACTION  -  1 ocorrências
DISTRESS  -  3 ocorrências
DISTRESSING  -  1 ocorrências
DISTRIBUTE  -  6 ocorrências
DISTRIBUTED  -  5 ocorrências
DISTRIBUTING  -  9 ocorrências
DISTRIBUTION  -  6 ocorrências
DISTRIBUTOR  -  1 ocorrências
DISTRICT  -  1 ocorrências
DISTRUST  -  1 ocorrências
DISTRUSTED  -  1 ocorrências
DISTURB  -  6 ocorrências
DISTURBED  -  8 ocorrências
DISTURBS  -  1 ocorrências
DISUNION  -  1 ocorrências
DIVERSITY  -  1 ocorrências
DIVERT  -  1 ocorrências
DIVERTED  -  2 ocorrências
DIVINE  -  12 ocorrências
DIVINELY  -  1 ocorrências
DIVINEST  -  1 ocorrências
DIVISION  -  1 ocorrências
DIVULGED  -  1 ocorrências
DIZZY  -  2 ocorrências
DO  -  135 ocorrências
DOCILE  -  2 ocorrências
DOES  -  17 ocorrências
DOG  -  2 ocorrências
DOGMATISM  -  1 ocorrências
DOGS  -  7 ocorrências
DOING  -  8 ocorrências
DOMAIN  -  8 ocorrências
DOME  -  1 ocorrências
DOMES  -  2 ocorrências
DOMESTIC  -  5 ocorrências
DOMINION  -  1 ocorrências
DOMINIONS  -  1 ocorrências
DONATE  -  4 ocorrências
DONATION  -  1 ocorrências
DONATIONS  -  15 ocorrências
DONE  -  9 ocorrências
DONORS  -  1 ocorrências
DOOMED  -  6 ocorrências
DOOR  -  24 ocorrências
DOORS  -  1 ocorrências
DORMANT  -  1 ocorrências
DOTED  -  2 ocorrências
DOTH  -  2 ocorrências
DOTING  -  2 ocorrências
DOUBLE  -  2 ocorrências
DOUBLY  -  1 ocorrências
DOUBT  -  12 ocorrências
DOUBTED  -  3 ocorrências
DOUBTFUL  -  1 ocorrências
DOUBTLESS  -  8 ocorrências
DOUBTS  -  1 ocorrências
DOWN  -  34 ocorrências
DOWNCAST  -  1 ocorrências
DOWNLOADING  -  1 ocorrências
DOWNSTAIRS  -  1 ocorrências
DOZEN  -  2 ocorrências
DOZING  -  1 ocorrências
DR  -  2 ocorrências
DRAG  -  1 ocorrências
DRAGGED  -  2 ocorrências
DRAGGING  -  1 ocorrências
DRANCE  -  1 ocorrências
DRAUGHT  -  2 ocorrências
DRAW  -  7 ocorrências
DRAWER  -  1 ocorrências
DRAWING  -  5 ocorrências
DRAWN  -  4 ocorrências
DREAD  -  7 ocorrências
DREADED  -  5 ocorrências
DREADFUL  -  12 ocorrências
DREADFULLY  -  3 ocorrências
DREADING  -  1 ocorrências
DREAM  -  18 ocorrências
DREAMING  -  1 ocorrências
DREAMS  -  12 ocorrências
DREAMT  -  1 ocorrências
DREARY  -  3 ocorrências
DRENCHED  -  1 ocorrências
DRESS  -  6 ocorrências
DRESSED  -  5 ocorrências
DREW  -  20 ocorrências
DRIED  -  3 ocorrências
DRIFTED  -  1 ocorrências
DRIFTING  -  1 ocorrências
DRINK  -  4 ocorrências
DRIVE  -  4 ocorrências
DRIVEN  -  5 ocorrências
DRIVEST  -  1 ocorrências
DROP  -  3 ocorrências
DROPPED  -  1 ocorrências
DROPPING  -  1 ocorrências
DROPS  -  5 ocorrências
DROSS  -  1 ocorrências
DROVE  -  3 ocorrências
DROWNED  -  1 ocorrências
DRUG  -  1 ocorrências
DRUNK  -  2 ocorrências
DRUNKEN  -  1 ocorrências
DRY  -  8 ocorrências
DU  -  1 ocorrências
DUE  -  3 ocorrências
DULL  -  2 ocorrências
DUN  -  1 ocorrências
DUNGEON  -  5 ocorrências
DUNGEONS  -  1 ocorrências
DURATION  -  1 ocorrências
DURING  -  67 ocorrências
DUSK  -  1 ocorrências
DUSKY  -  1 ocorrências
DUST  -  4 ocorrências
DUTCH  -  1 ocorrências
DUTIES  -  11 ocorrências
DUTY  -  11 ocorrências
DUVILLARD  -  1 ocorrências
DWELL  -  5 ocorrências
DWELLING  -  10 ocorrências
DWELT  -  2 ocorrências
DYING  -  6 ocorrências
E  -  23 ocorrências
EACH  -  28 ocorrências
EAGER  -  4 ocorrências
EAGERLY  -  9 ocorrências
EAGERNESS  -  5 ocorrências
EAGLE  -  2 ocorrências
EAR  -  4 ocorrências
EARLIER  -  3 ocorrências
EARLIEST  -  3 ocorrências
EARLY  -  15 ocorrências
EARN  -  1 ocorrências
EARNEST  -  3 ocorrências
EARNESTLY  -  6 ocorrências
EARNESTNESS  -  3 ocorrências
EARS  -  8 ocorrências
EARTH  -  36 ocorrências
EARTHQUAKE  -  2 ocorrências
EASE  -  3 ocorrências
EASIER  -  1 ocorrências
EASILY  -  19 ocorrências
EAST  -  2 ocorrências
EASTERN  -  3 ocorrências
EASY  -  1 ocorrências
EAT  -  4 ocorrências
EATEN  -  2 ocorrências
EBOOK  -  10 ocorrências
EBOOKS  -  7 ocorrências
ECCENTRICITIES  -  1 ocorrências
ECHOED  -  2 ocorrências
ECSTASY  -  6 ocorrências
ECSTATIC  -  1 ocorrências
EDGE  -  3 ocorrências
EDGES  -  1 ocorrências
EDINBURGH  -  4 ocorrências
EDITION  -  1 ocorrências
EDITIONS  -  4 ocorrências
EDUCATE  -  1 ocorrências
EDUCATED  -  3 ocorrências
EDUCATION  -  6 ocorrências
EDUCATIONAL  -  1 ocorrências
EFFACE  -  1 ocorrências
EFFECT  -  9 ocorrências
EFFECTED  -  1 ocorrências
EFFECTS  -  7 ocorrências
EFFECTUAL  -  1 ocorrências
EFFORT  -  6 ocorrências
EFFORTS  -  3 ocorrências
EFFUSIONS  -  1 ocorrências
EIGHT  -  4 ocorrências
EIGHTEENTH  -  1 ocorrências
EIN  -  1 ocorrências
EITHER  -  8 ocorrências
ELAPSED  -  7 ocorrências
ELASTICITY  -  1 ocorrências
ELDER  -  2 ocorrências
ELDEST  -  2 ocorrências
ELECT  -  1 ocorrências
ELECTRICITY  -  2 ocorrências
ELECTRONIC  -  27 ocorrências
ELECTRONICALLY  -  2 ocorrências
ELEMENT  -  3 ocorrências
ELEMENTAL  -  1 ocorrências
ELEMENTARY  -  1 ocorrências
ELEMENTS  -  3 ocorrências
ELEVATE  -  1 ocorrências
ELEVATED  -  6 ocorrências
ELEVATES  -  2 ocorrências
ELEVATING  -  2 ocorrências
ELEVATION  -  1 ocorrências
ELEVEN  -  1 ocorrências
ELIXIR  -  2 ocorrências
ELIZABETH  -  92 ocorrências
ELOQUENCE  -  5 ocorrências
ELOQUENT  -  1 ocorrências
ELSE  -  2 ocorrências
ELUDE  -  1 ocorrências
ELUDED  -  4 ocorrências
EMACIATED  -  3 ocorrências
EMAIL  -  3 ocorrências
EMBARK  -  1 ocorrências
EMBARKATION  -  2 ocorrências
EMBARKED  -  1 ocorrências
EMBARKS  -  1 ocorrências
EMBERS  -  3 ocorrências
EMBITTERED  -  1 ocorrências
EMBLEM  -  1 ocorrências
EMBOSOMED  -  1 ocorrências
EMBRACE  -  1 ocorrências
EMBRACED  -  6 ocorrências
EMERGENCIES  -  1 ocorrências
EMERGENCY  -  1 ocorrências
EMIGRATION  -  1 ocorrências
EMINENTLY  -  1 ocorrências
EMOTION  -  3 ocorrências
EMOTIONS  -  8 ocorrências
EMPIRE  -  1 ocorrências
EMPIRES  -  3 ocorrências
EMPLOY  -  2 ocorrências
EMPLOYED  -  13 ocorrências
EMPLOYEE  -  1 ocorrências
EMPLOYEES  -  2 ocorrências
EMPLOYMENT  -  6 ocorrências
EMPLOYMENTS  -  1 ocorrências
EMPTY  -  2 ocorrências
EMULATE  -  1 ocorrências
EMULATION  -  1 ocorrências
ENABLE  -  3 ocorrências
ENABLED  -  5 ocorrências
ENCHANTED  -  2 ocorrências
ENCHANTING  -  3 ocorrências
ENCHANTMENT  -  1 ocorrências
ENCODING  -  1 ocorrências
ENCOMIUMS  -  1 ocorrências
ENCOMPASSED  -  4 ocorrências
ENCOUNTER  -  5 ocorrências
ENCOUNTERED  -  1 ocorrências
ENCOUNTERING  -  2 ocorrências
ENCOURAGE  -  2 ocorrências
ENCOURAGED  -  2 ocorrências
ENCOURAGING  -  1 ocorrências
END  -  24 ocorrências
ENDANGERED  -  1 ocorrências
ENDEARED  -  1 ocorrências
ENDEAVOUR  -  12 ocorrências
ENDEAVOURED  -  28 ocorrências
ENDEAVOURING  -  9 ocorrências
ENDEAVOURS  -  7 ocorrências
ENDED  -  2 ocorrências
ENDING  -  1 ocorrências
ENDLESS  -  2 ocorrências
ENDOW  -  1 ocorrências
ENDOWED  -  4 ocorrências
ENDOWMENTS  -  1 ocorrências
ENDUED  -  5 ocorrências
ENDURANCE  -  1 ocorrências
ENDURE  -  18 ocorrências
ENDURED  -  23 ocorrências
ENDURING  -  1 ocorrências
ENEMIES  -  7 ocorrências
ENEMY  -  24 ocorrências
ENERGETICALLY  -  1 ocorrências
ENERGIES  -  1 ocorrências
ENERGY  -  1 ocorrências
ENFRANCHISED  -  1 ocorrências
ENGAGE  -  3 ocorrências
ENGAGED  -  18 ocorrências
ENGAGEMENT  -  2 ocorrências
ENGAGES  -  1 ocorrências
ENGAGING  -  2 ocorrências
ENGLAND  -  21 ocorrências
ENGLISH  -  9 ocorrências
ENGLISHMAN  -  2 ocorrências
ENGLISHMEN  -  1 ocorrências
ENGROSSED  -  1 ocorrências
ENHANCED  -  1 ocorrências
ENIGMATIC  -  1 ocorrências
ENJOINED  -  2 ocorrências
ENJOY  -  9 ocorrências
ENJOYED  -  13 ocorrências
ENJOYING  -  2 ocorrências
ENJOYMENT  -  9 ocorrências
ENJOYMENTS  -  2 ocorrências
ENJOYS  -  2 ocorrências
ENKINDLED  -  1 ocorrências
ENLIGHTENED  -  3 ocorrências
ENNUI  -  1 ocorrências
ENORMITY  -  2 ocorrências
ENOUGH  -  12 ocorrências
ENOUNCED  -  1 ocorrências
ENQUIRED  -  2 ocorrências
ENRAGED  -  2 ocorrências
ENRAPTURED  -  2 ocorrências
ENSLAVE  -  1 ocorrências
ENSLAVED  -  1 ocorrências
ENSUED  -  1 ocorrências
ENSUING  -  4 ocorrências
ENSURE  -  2 ocorrências
ENSURING  -  1 ocorrências
ENTER  -  21 ocorrências
ENTERED  -  38 ocorrências
ENTERING  -  6 ocorrências
ENTERPRISE  -  10 ocorrências
ENTERS  -  1 ocorrências
ENTERTAIN  -  1 ocorrências
ENTERTAINED  -  3 ocorrências
ENTHUSIASM  -  11 ocorrências
ENTHUSIASTIC  -  4 ocorrências
ENTICED  -  1 ocorrências
ENTICEMENT  -  1 ocorrências
ENTICEMENTS  -  2 ocorrências
ENTICING  -  1 ocorrências
ENTIRE  -  3 ocorrências
ENTIRELY  -  20 ocorrências
ENTITLED  -  1 ocorrências
ENTITY  -  3 ocorrências
ENTRANCE  -  1 ocorrências
ENTRANCED  -  1 ocorrências
ENTRANCINGLY  -  1 ocorrências
ENTREAT  -  6 ocorrências
ENTREATED  -  6 ocorrências
ENTREATIES  -  4 ocorrências
ENTREATING  -  2 ocorrências
ENTRENCH  -  1 ocorrências
ENUNCIATION  -  1 ocorrências
ENVELOP  -  1 ocorrências
ENVELOPED  -  3 ocorrências
ENVIRONS  -  5 ocorrências
ENVY  -  2 ocorrências
EPHEMERAL  -  1 ocorrências
EPITHETS  -  1 ocorrências
EPOCH  -  2 ocorrências
EQUAL  -  5 ocorrências
EQUALLED  -  2 ocorrências
EQUALLY  -  4 ocorrências
EQUALS  -  2 ocorrências
EQUIPMENT  -  3 ocorrências
EQUITABLE  -  1 ocorrências
ER  -  1 ocorrências
ERA  -  1 ocorrências
ERADICATED  -  1 ocorrências
ERADICATING  -  1 ocorrências
ERECT  -  1 ocorrências
ERNEST  -  13 ocorrências
ERRONEOUS  -  1 ocorrências
ERRONEOUSLY  -  1 ocorrências
ERRORS  -  2 ocorrências
ESCAPE  -  9 ocorrências
ESCAPED  -  7 ocorrências
ESCAPES  -  1 ocorrências
ESPECIAL  -  2 ocorrências
ESPECIALLY  -  4 ocorrências
ESQ  -  1 ocorrências
ESTABLISHED  -  1 ocorrências
ESTEEM  -  3 ocorrências
ESTEEMED  -  2 ocorrências
ETERNAL  -  11 ocorrências
ETERNALLY  -  1 ocorrências
ETERNITY  -  1 ocorrências
EULOGY  -  1 ocorrências
EUROPE  -  2 ocorrências
EUROPEAN  -  2 ocorrências
EVADED  -  1 ocorrências
EVE  -  1 ocorrências
EVEN  -  96 ocorrências
EVENING  -  12 ocorrências
EVENT  -  12 ocorrências
EVENTFUL  -  1 ocorrências
EVENTS  -  18 ocorrências
EVENTUAL  -  1 ocorrências
EVER  -  85 ocorrências
EVERLASTING  -  5 ocorrências
EVERY  -  109 ocorrências
EVERYBODY  -  3 ocorrências
EVERYDAY  -  1 ocorrências
EVERYONE  -  2 ocorrências
EVERYTHING  -  6 ocorrências
EVERYWHERE  -  2 ocorrências
EVIAN  -  2 ocorrências
EVIDENCE  -  10 ocorrências
EVIDENTLY  -  3 ocorrências
EVIL  -  23 ocorrências
EVILS  -  4 ocorrências
EVINCED  -  1 ocorrências
EXACTLY  -  3 ocorrências
EXALTED  -  1 ocorrências
EXAMINATION  -  2 ocorrências
EXAMINE  -  4 ocorrências
EXAMINED  -  6 ocorrências
EXAMINING  -  3 ocorrências
EXAMPLE  -  2 ocorrências
EXASPERATE  -  1 ocorrências
EXASPERATED  -  2 ocorrências
EXCEED  -  3 ocorrências
EXCEEDED  -  2 ocorrências
EXCEEDINGLY  -  2 ocorrências
EXCELLENCE  -  2 ocorrências
EXCELLENT  -  15 ocorrências
EXCEPT  -  14 ocorrências
EXCEPTION  -  2 ocorrências
EXCESS  -  9 ocorrências
EXCESSIVE  -  3 ocorrências
EXCESSIVELY  -  1 ocorrências
EXCHANGE  -  1 ocorrências
EXCHANGED  -  4 ocorrências
EXCITE  -  3 ocorrências
EXCITED  -  12 ocorrências
EXCITEMENTS  -  1 ocorrências
EXCITES  -  1 ocorrências
EXCITING  -  1 ocorrências
EXCLAIM  -  1 ocorrências
EXCLAIMED  -  19 ocorrências
EXCLAMATION  -  3 ocorrências
EXCLAMATIONS  -  2 ocorrências
EXCLUDED  -  2 ocorrências
EXCLUSION  -  1 ocorrências
EXCOMMUNICATION  -  1 ocorrências
EXCULPATED  -  1 ocorrências
EXCURSION  -  1 ocorrências
EXCUSE  -  1 ocorrências
EXECRATE  -  1 ocorrências
EXECRATED  -  1 ocorrências
EXECRATION  -  1 ocorrências
EXECUTE  -  3 ocorrências
EXECUTED  -  3 ocorrências
EXECUTING  -  1 ocorrências
EXECUTION  -  8 ocorrências
EXECUTIVE  -  1 ocorrências
EXEMPLIFIED  -  1 ocorrências
EXEMPT  -  3 ocorrências
EXERCISE  -  6 ocorrências
EXERCISED  -  2 ocorrências
EXERT  -  3 ocorrências
EXERTED  -  2 ocorrências
EXERTING  -  1 ocorrências
EXERTION  -  8 ocorrências
EXERTIONS  -  5 ocorrências
EXHAUSTED  -  6 ocorrências
EXHAUSTION  -  3 ocorrências
EXHIBIT  -  3 ocorrências
EXHIBITED  -  8 ocorrências
EXHILARATED  -  1 ocorrências
EXHORTATIONS  -  2 ocorrências
EXILE  -  5 ocorrências
EXIST  -  6 ocorrências
EXISTED  -  1 ocorrências
EXISTENCE  -  31 ocorrências
EXISTING  -  2 ocorrências
EXISTS  -  2 ocorrências
EXORDIUM  -  1 ocorrências
EXOTIC  -  1 ocorrências
EXPANDED  -  2 ocorrências
EXPANDING  -  1 ocorrências
EXPANSE  -  2 ocorrências
EXPECT  -  7 ocorrências
EXPECTATION  -  6 ocorrências
EXPECTATIONS  -  1 ocorrências
EXPECTED  -  12 ocorrências
EXPEDITE  -  1 ocorrências
EXPEDITION  -  4 ocorrências
EXPEDITIONS  -  1 ocorrências
EXPEND  -  1 ocorrências
EXPENSE  -  1 ocorrências
EXPENSES  -  2 ocorrências
EXPERIENCE  -  7 ocorrências
EXPERIENCED  -  11 ocorrências
EXPERIMENT  -  1 ocorrências
EXPERIMENTALIST  -  1 ocorrências
EXPERIMENTS  -  1 ocorrências
EXPIRATION  -  2 ocorrências
EXPIRE  -  1 ocorrências
EXPLAIN  -  4 ocorrências
EXPLAINED  -  5 ocorrências
EXPLAINING  -  1 ocorrências
EXPLANATION  -  10 ocorrências
EXPLANATIONS  -  1 ocorrências
EXPLODED  -  3 ocorrências
EXPLOIT  -  1 ocorrências
EXPLORE  -  2 ocorrências
EXPORTING  -  1 ocorrências
EXPOSED  -  4 ocorrências
EXPOSING  -  1 ocorrências
EXPOSTULATE  -  1 ocorrências
EXPRESS  -  10 ocorrências
EXPRESSED  -  26 ocorrências
EXPRESSION  -  15 ocorrências
EXPRESSIONS  -  2 ocorrências
EXPRESSIVE  -  7 ocorrências
EXQUISITE  -  5 ocorrências
EXQUISITELY  -  1 ocorrências
EXTENDED  -  2 ocorrências
EXTENSIVE  -  2 ocorrências
EXTENT  -  5 ocorrências
EXTENTS  -  1 ocorrências
EXTERNAL  -  1 ocorrências
EXTINCT  -  2 ocorrências
EXTINCTION  -  4 ocorrências
EXTINGUISH  -  7 ocorrências
EXTINGUISHED  -  8 ocorrências
EXTORT  -  1 ocorrências
EXTRACT  -  1 ocorrências
EXTRACTING  -  1 ocorrências
EXTRAORDINARY  -  1 ocorrências
EXTREME  -  16 ocorrências
EXTREMELY  -  4 ocorrências
EXTREMES  -  1 ocorrências
EXTREMEST  -  2 ocorrências
EXTREMITIES  -  1 ocorrências
EXTREMITY  -  2 ocorrências
EXTRICATE  -  1 ocorrências
EXULT  -  1 ocorrências
EXULTATION  -  3 ocorrências
EXULTING  -  1 ocorrências
EYE  -  18 ocorrências
EYEBALLS  -  1 ocorrências
EYED  -  1 ocorrências
EYELASHES  -  1 ocorrências
EYES  -  104 ocorrências
F  -  11 ocorrências
FACE  -  20 ocorrências
FACES  -  6 ocorrências
FACILE  -  1 ocorrências
FACILITATED  -  1 ocorrências
FACILITY  -  2 ocorrências
FACT  -  4 ocorrências
FACTS  -  6 ocorrências
FACULTIES  -  1 ocorrências
FACULTY  -  1 ocorrências
FADE  -  1 ocorrências
FADED  -  1 ocorrências
FAIL  -  7 ocorrências
FAILED  -  8 ocorrências
FAILING  -  4 ocorrências
FAILURE  -  3 ocorrências
FAINT  -  2 ocorrências
FAINTED  -  6 ocorrências
FAINTER  -  1 ocorrências
FAINTING  -  1 ocorrências
FAINTNESS  -  1 ocorrências
FAIR  -  12 ocorrências
FAIRBANKS  -  1 ocorrências
FAIRER  -  2 ocorrências
FAIREST  -  1 ocorrências
FAIRLY  -  1 ocorrências
FAIRY  -  1 ocorrências
FAITH  -  2 ocorrências
FAITHFUL  -  1 ocorrências
FALKLAND  -  1 ocorrências
FALL  -  10 ocorrências
FALLEN  -  9 ocorrências
FALLING  -  2 ocorrências
FALSE  -  5 ocorrências
FALSEHOOD  -  3 ocorrências
FALSELY  -  1 ocorrências
FALTERING  -  1 ocorrências
FAME  -  1 ocorrências
FAMED  -  1 ocorrências
FAMILIAR  -  8 ocorrências
FAMILIARISED  -  1 ocorrências
FAMILIARITY  -  1 ocorrências
FAMILIARLY  -  1 ocorrências
FAMILIES  -  2 ocorrências
FAMILY  -  31 ocorrências
FAMINE  -  2 ocorrências
FAN  -  1 ocorrências
FANCIED  -  1 ocorrências
FANCIES  -  2 ocorrências
FANCIFUL  -  1 ocorrências
FANCY  -  11 ocorrências
FANCYING  -  1 ocorrências
FANGS  -  1 ocorrências
FANNED  -  2 ocorrências
FAR  -  39 ocorrências
FARE  -  3 ocorrências
FAREWELL  -  10 ocorrências
FARM  -  1 ocorrências
FARMER  -  1 ocorrências
FARMHOUSE  -  1 ocorrências
FARTHER  -  3 ocorrências
FASHION  -  2 ocorrências
FASHIONED  -  2 ocorrências
FAST  -  4 ocorrências
FASTIDIOUS  -  1 ocorrências
FATAL  -  8 ocorrências
FATALITY  -  2 ocorrências
FATALLY  -  1 ocorrências
FATE  -  18 ocorrências
FATED  -  1 ocorrências
FATHER  -  134 ocorrências
FATIGUE  -  12 ocorrências
FATIGUED  -  2 ocorrências
FATIGUES  -  1 ocorrências
FATIGUING  -  1 ocorrências
FAULTINESS  -  1 ocorrências
FAULTS  -  1 ocorrências
FAULTY  -  1 ocorrências
FAVOUR  -  6 ocorrências
FAVOURABLE  -  7 ocorrências
FAVOURITE  -  13 ocorrências
FAVOURITES  -  1 ocorrências
FEAR  -  40 ocorrências
FEARED  -  13 ocorrências
FEARFUL  -  9 ocorrências
FEARFULLY  -  2 ocorrências
FEARING  -  3 ocorrências
FEARLESS  -  1 ocorrências
FEARS  -  10 ocorrências
FEATURE  -  2 ocorrências
FEATURES  -  7 ocorrências
FEBRUARY  -  1 ocorrências
FEDERAL  -  2 ocorrências
FEE  -  9 ocorrências
FEEBLE  -  3 ocorrências
FEEBLY  -  1 ocorrências
FEEL  -  50 ocorrências
FEELING  -  27 ocorrências
FEELINGS  -  76 ocorrências
FEELS  -  2 ocorrências
FEES  -  4 ocorrências
FEET  -  13 ocorrências
FEINT  -  1 ocorrências
FELIX  -  50 ocorrências
FELL  -  18 ocorrências
FELLOW  -  30 ocorrências
FELLOWS  -  3 ocorrências
FELLOWSHIP  -  1 ocorrências
FELT  -  80 ocorrências
FEMALE  -  5 ocorrências
FEMALES  -  1 ocorrências
FEMININE  -  2 ocorrências
FERTILE  -  2 ocorrências
FERVENT  -  2 ocorrências
FERVENTLY  -  1 ocorrências
FERVOUR  -  3 ocorrências
FESTERING  -  1 ocorrências
FESTIVAL  -  1 ocorrências
FETTER  -  1 ocorrências
FETTERED  -  1 ocorrências
FEVER  -  10 ocorrências
FEVERISH  -  5 ocorrências
FEW  -  62 ocorrências
FIBRE  -  1 ocorrências
FIBRES  -  1 ocorrências
FIDELITY  -  1 ocorrências
FIELD  -  6 ocorrências
FIELDS  -  9 ocorrências
FIEND  -  35 ocorrências
FIENDISH  -  6 ocorrências
FIERCE  -  2 ocorrências
FIERCENESS  -  1 ocorrências
FIFTEEN  -  2 ocorrências
FIFTH  -  1 ocorrências
FIFTY  -  1 ocorrências
FIGHT  -  1 ocorrências
FIGURE  -  11 ocorrências
FIGURES  -  1 ocorrências
